Cys1_start_age,Cys1_end_age,range,n,Cys3_age_range,Cys3_mean_age,Cys3_med_age,death2018_n,death2018_p,death2018_age_range,RR,CI_RR
60,64,4,498,"[67, 73]",70.03614457831326,70,36,0.07,"[68, 76]",NA,NA
61,65,4,558,"[68, 74]",71.16666666666667,71,46,0.08,"[70, 78]",NA,NA
62,66,4,584,"[69, 75]",72.04452054794521,72,45,0.08,"[71, 78]",NA,NA
63,67,4,588,"[70, 76]",72.94047619047619,73,57,0.1,"[71, 80]",NA,NA
64,68,4,602,"[71, 77]",73.87873754152824,74,64,0.11,"[72, 81]",NA,NA
65,69,4,608,"[72, 78]",74.85690789473684,75,67,0.11,"[74, 82]",NA,NA
66,70,4,582,"[73, 79]",75.9914089347079,76,69,0.12,"[74, 83]",NA,NA
67,71,4,568,"[74, 80]",76.93661971830986,77,80,0.14,"[75, 84]",NA,NA
68,72,4,555,"[75, 81]",77.80540540540541,78,80,0.14,"[76, 85]",NA,NA
69,73,4,527,"[76, 82]",78.75332068311195,79,76,0.14,"[78, 86]",NA,NA
70,74,4,491,"[77, 83]",79.75763747454175,80,86,0.18,"[79, 87]",NA,NA
71,75,4,449,"[78, 84]",80.80846325167037,81,89,0.2,"[79, 87]",NA,NA
60,65,5,646,"[67, 74]",70.70588235294117,71,48,0.07,"[68, 78]",NA,NA
61,66,5,673,"[68, 75]",71.6329866270431,72,53,0.08,"[70, 78]",NA,NA
62,67,5,689,"[69, 76]",72.48911465892598,73,62,0.09,"[71, 80]",NA,NA
63,68,5,706,"[70, 77]",73.44475920679886,73,72,0.1,"[71, 81]",NA,NA
64,69,5,724,"[71, 78]",74.38950276243094,74,80,0.11,"[72, 82]",NA,NA
65,70,5,730,"[72, 79]",75.37671232876713,75,81,0.11,"[74, 83]",NA,NA
66,71,5,683,"[73, 80]",76.42459736456809,76,87,0.13,"[74, 84]",NA,NA
67,72,5,660,"[74, 81]",77.35303030303031,77,97,0.15,"[75, 85]",NA,NA
68,73,5,645,"[75, 82]",78.24186046511628,78,91,0.14,"[76, 86]",NA,NA
69,74,5,613,"[76, 83]",79.19086460032626,79,102,0.17,"[78, 87]",NA,NA
70,75,5,571,"[77, 84]",80.20140105078809,80,103,0.18,"[79, 87]",NA,NA
71,76,5,514,"[78, 85]",81.20622568093385,81,103,0.2,"[79, 88]",NA,NA
60,66,6,761,"[67, 75]",71.18791064388962,71,55,0.07,"[68, 78]",NA,NA
61,67,6,778,"[68, 76]",72.08226221079691,72,70,0.09,"[70, 80]",NA,NA
62,68,6,807,"[69, 77]",72.99628252788104,73,77,0.1,"[71, 81]",NA,NA
63,69,6,828,"[70, 78]",73.95531400966183,74,88,0.11,"[71, 82]",NA,NA
64,70,6,846,"[71, 79]",74.90543735224587,75,94,0.11,"[72, 83]",NA,NA
65,71,6,831,"[72, 80]",75.80746089049339,76,99,0.12,"[74, 84]",NA,NA
66,72,6,775,"[73, 81]",76.84,77,104,0.13,"[74, 85]",NA,NA
67,73,6,750,"[74, 82]",77.78266666666667,78,108,0.14,"[75, 86]",NA,NA
68,74,6,731,"[75, 83]",78.66894664842681,79,117,0.16,"[76, 87]",NA,NA
69,75,6,693,"[76, 84]",79.62193362193362,79,119,0.17,"[78, 87]",NA,NA
70,76,6,636,"[77, 85]",80.58490566037736,80,117,0.18,"[79, 88]",NA,NA
71,77,6,562,"[78, 86]",81.52491103202847,81,118,0.21,"[79, 90]",NA,NA
60,67,7,866,"[67, 76]",71.64549653579677,72,72,0.08,"[68, 80]",NA,NA
61,68,7,896,"[68, 77]",72.59263392857143,73,85,0.09,"[70, 81]",NA,NA
62,69,7,929,"[69, 78]",73.51022604951561,73,93,0.1,"[71, 82]",NA,NA
63,70,7,950,"[70, 79]",74.47052631578947,74,102,0.11,"[71, 83]",NA,NA
64,71,7,947,"[71, 80]",75.3336853220697,75,112,0.12,"[72, 84]",NA,NA
65,72,7,923,"[72, 81]",76.21776814734561,76,116,0.13,"[74, 85]",NA,NA
66,73,7,865,"[73, 82]",77.26589595375722,77,115,0.13,"[74, 86]",NA,NA
67,74,7,836,"[74, 83]",78.20334928229666,78,134,0.16,"[75, 87]",NA,NA
68,75,7,811,"[75, 84]",79.08877928483354,79,134,0.17,"[76, 87]",NA,NA
69,76,7,758,"[76, 85]",79.9934036939314,80,133,0.18,"[78, 88]",NA,NA
70,77,7,684,"[77, 86]",80.89035087719299,81,132,0.19,"[79, 90]",NA,NA
71,78,7,628,"[78, 87]",81.98089171974522,82,141,0.22,"[79, 90]",NA,NA
60,68,8,984,"[67, 77]",72.16260162601625,72,87,0.09,"[68, 81]",NA,NA
61,69,8,1018,"[68, 78]",73.11001964636542,73,101,0.1,"[70, 82]",NA,NA
62,70,8,1051,"[69, 79]",74.02759276879162,74,107,0.1,"[71, 83]",NA,NA
63,71,8,1051,"[70, 80]",74.89819219790675,75,120,0.11,"[71, 84]",NA,NA
64,72,8,1039,"[71, 81]",75.74013474494707,76,129,0.12,"[72, 85]",NA,NA
65,73,8,1013,"[72, 82]",76.63672260612043,77,127,0.13,"[74, 86]",NA,NA
66,74,8,951,"[73, 83]",77.68243953732913,78,141,0.15,"[74, 87]",NA,NA
67,75,8,916,"[74, 84]",78.61572052401746,78,151,0.16,"[75, 87]",NA,NA
68,76,8,876,"[75, 85]",79.44977168949772,79,148,0.17,"[76, 88]",NA,NA
69,77,8,806,"[76, 86]",80.287841191067,80,148,0.18,"[78, 90]",NA,NA
70,78,8,750,"[77, 87]",81.328,81,155,0.21,"[79, 90]",NA,NA
71,79,8,675,"[78, 88]",82.32444444444444,82,155,0.23,"[79, 92]",NA,NA
60,69,9,1106,"[67, 78]",72.68625678119349,73,103,0.09,"[68, 82]",NA,NA
61,70,9,1140,"[68, 79]",73.62982456140351,74,115,0.1,"[70, 83]",NA,NA
62,71,9,1152,"[69, 80]",74.45659722222223,74,125,0.11,"[71, 84]",NA,NA
63,72,9,1143,"[70, 81]",75.30271216097988,75,137,0.12,"[71, 85]",NA,NA
64,73,9,1129,"[71, 82]",76.1541186891054,76,140,0.12,"[72, 86]",NA,NA
65,74,9,1099,"[72, 83]",77.0464058234759,77,153,0.14,"[74, 87]",NA,NA
66,75,9,1031,"[73, 84]",78.08923375363725,78,158,0.15,"[74, 87]",NA,NA
67,76,9,981,"[74, 85]",78.96941896024465,79,165,0.17,"[75, 88]",NA,NA
68,77,9,924,"[75, 86]",79.73484848484848,79,163,0.18,"[76, 90]",NA,NA
69,78,9,872,"[76, 87]",80.7098623853211,80,171,0.2,"[78, 90]",NA,NA
70,79,9,797,"[77, 88]",81.65746549560853,81,169,0.21,"[79, 92]",NA,NA
71,80,9,706,"[78, 89]",82.56232294617564,82,167,0.24,"[79, 93]",NA,NA
60,70,10,1228,"[67, 79]",73.21091205211727,73,117,0.1,"[68, 83]",NA,NA
61,71,10,1241,"[68, 80]",74.0604351329573,74,133,0.11,"[70, 84]",NA,NA
62,72,10,1244,"[69, 81]",74.86093247588424,75,142,0.11,"[71, 85]",NA,NA
63,73,10,1233,"[70, 82]",75.71370640713707,76,148,0.12,"[71, 86]",NA,NA
64,74,10,1215,"[71, 83]",76.55884773662551,76,166,0.14,"[72, 87]",NA,NA
65,75,10,1179,"[72, 84]",77.44529262086515,77,170,0.14,"[74, 87]",NA,NA
66,76,10,1096,"[73, 85]",78.43704379562044,78,172,0.16,"[74, 88]",NA,NA
67,77,10,1029,"[74, 86]",79.24781341107872,79,180,0.17,"[75, 90]",NA,NA
68,78,10,990,"[75, 87]",80.14343434343435,80,186,0.19,"[76, 90]",NA,NA
69,79,10,919,"[76, 88]",81.0272034820457,81,185,0.2,"[78, 92]",NA,NA
70,80,10,828,"[77, 89]",81.88526570048309,82,181,0.22,"[79, 93]",NA,NA
71,81,10,746,"[78, 89]",82.89276139410188,82,184,0.25,"[79, 93]",NA,NA
