Cys1_start_age,Cys1_end_age,range,n,Cys3_age_range,Cys3_mean_age,Cys3_med_age,death2018_n,death2018_p,death2018_age_range,OR,CI
60,64,4,498,"[67, 73]",70.03614458,70,36,0.07,"[68, 76]",4.57,"[2.19, 10.89]"
61,65,4,558,"[68, 74]",71.16666667,71,46,0.08,"[70, 78]",4.78,"[2.23, 11.18]"
62,66,4,584,"[69, 75]",72.04452055,72,45,0.08,"[71, 78]",4.3,"[2.02, 10.34]"
63,67,4,588,"[70, 76]",72.94047619,73,57,0.1,"[71, 80]",2.26,"[1.34, 4.3]"
64,68,4,602,"[71, 77]",73.87873754,74,64,0.11,"[72, 81]",2.76,"[1.42, 5.33]"
65,69,4,608,"[72, 78]",74.85690789,75,67,0.11,"[74, 82]",2.83,"[1.45, 5.52]"
66,70,4,582,"[73, 79]",75.99140893,76,69,0.12,"[74, 83]",2.34,"[1.2, 4.45]"
67,71,4,568,"[74, 80]",76.93661972,77,80,0.14,"[75, 84]",1.47,"[0.84, 2.54]"
68,72,4,555,"[75, 81]",77.80540541,78,80,0.14,"[76, 85]",1.69,"[0.95, 3.14]"
69,73,4,527,"[76, 82]",78.75332068,79,76,0.14,"[78, 86]",1.58,"[0.89, 2.86]"
70,74,4,491,"[77, 83]",79.75763747,80,86,0.18,"[79, 87]",1.49,"[0.86, 2.62]"
71,75,4,449,"[78, 84]",80.80846325,81,89,0.2,"[79, 87]",1.76,"[1.03, 3.14]"
60,65,5,646,"[67, 74]",70.70588235,71,48,0.07,"[68, 78]",4.5,"[2.2, 10.04]"
61,66,5,673,"[68, 75]",71.63298663,72,53,0.08,"[70, 78]",4.37,"[2.19, 9.43]"
62,67,5,689,"[69, 76]",72.48911466,73,62,0.09,"[71, 80]",2.55,"[1.57, 4.74]"
63,68,5,706,"[70, 77]",73.44475921,73,72,0.1,"[71, 81]",2.62,"[1.56, 4.8]"
64,69,5,724,"[71, 78]",74.38950276,74,80,0.11,"[72, 82]",3.16,"[1.72, 5.85]"
65,70,5,730,"[72, 79]",75.37671233,75,81,0.11,"[74, 83]",2.43,"[1.29, 4.49]"
66,71,5,683,"[73, 80]",76.42459736,76,87,0.13,"[74, 84]",1.61,"[0.95, 2.77]"
67,72,5,660,"[74, 81]",77.3530303,77,97,0.15,"[75, 85]",1.5,"[0.89, 2.51]"
68,73,5,645,"[75, 82]",78.24186047,78,91,0.14,"[76, 86]",1.96,"[1.15, 3.48]"
69,74,5,613,"[76, 83]",79.1908646,79,102,0.17,"[78, 87]",1.66,"[0.99, 2.85]"
70,75,5,571,"[77, 84]",80.20140105,80,103,0.18,"[79, 87]",1.65,"[0.99, 2.81]"
71,76,5,514,"[78, 85]",81.20622568,81,103,0.2,"[79, 88]",2.18,"[1.3, 3.84]"
60,66,6,761,"[67, 75]",71.18791064,71,55,0.07,"[68, 78]",4.19,"[2.17, 8.7]"
61,67,6,778,"[68, 76]",72.08226221,72,70,0.09,"[70, 80]",2.77,"[1.69, 4.99]"
62,68,6,807,"[69, 77]",72.99628253,73,77,0.1,"[71, 81]",2.88,"[1.77, 5.17]"
63,69,6,828,"[70, 78]",73.95531401,74,88,0.11,"[71, 82]",2.96,"[1.77, 5.27]"
64,70,6,846,"[71, 79]",74.90543735,75,94,0.11,"[72, 83]",2.73,"[1.53, 4.83]"
65,71,6,831,"[72, 80]",75.80746089,76,99,0.12,"[74, 84]",1.69,"[1.01, 2.86]"
66,72,6,775,"[73, 81]",76.84,77,104,0.13,"[74, 85]",1.63,"[0.99, 2.7]"
67,73,6,750,"[74, 82]",77.78266667,78,108,0.14,"[75, 86]",1.68,"[1.04, 2.74]"
68,74,6,731,"[75, 83]",78.66894665,79,117,0.16,"[76, 87]",2.01,"[1.22, 3.39]"
69,75,6,693,"[76, 84]",79.62193362,79,119,0.17,"[78, 87]",1.81,"[1.11, 3.03]"
70,76,6,636,"[77, 85]",80.58490566,80,117,0.18,"[79, 88]",2.02,"[1.23, 3.41]"
71,77,6,562,"[78, 86]",81.52491103,81,118,0.21,"[79, 90]",2.08,"[1.26, 3.57]"
60,67,7,866,"[67, 76]",71.64549654,72,72,0.08,"[68, 80]",2.75,"[1.7, 4.87]"
61,68,7,896,"[68, 77]",72.59263393,73,85,0.09,"[70, 81]",3.11,"[1.9, 5.39]"
62,69,7,929,"[69, 78]",73.51022605,73,93,0.1,"[71, 82]",3.21,"[1.96, 5.63]"
63,70,7,950,"[70, 79]",74.47052632,74,102,0.11,"[71, 83]",2.63,"[1.63, 4.48]"
64,71,7,947,"[71, 80]",75.33368532,75,112,0.12,"[72, 84]",1.92,"[1.18, 3.19]"
65,72,7,923,"[72, 81]",76.21776815,76,116,0.13,"[74, 85]",1.69,"[1.04, 2.78]"
66,73,7,865,"[73, 82]",77.26589595,77,115,0.13,"[74, 86]",1.8,"[1.13, 2.9]"
67,74,7,836,"[74, 83]",78.20334928,78,134,0.16,"[75, 87]",1.74,"[1.11, 2.77]"
68,75,7,811,"[75, 84]",79.08877928,79,134,0.17,"[76, 87]",2.12,"[1.32, 3.48]"
69,76,7,758,"[76, 85]",79.99340369,80,133,0.18,"[78, 88]",2.19,"[1.36, 3.62]"
70,77,7,684,"[77, 86]",80.89035088,81,132,0.19,"[79, 90]",1.95,"[1.21, 3.23]"
71,78,7,628,"[78, 87]",81.98089172,82,141,0.22,"[79, 90]",1.79,"[1.14, 2.88]"
60,68,8,984,"[67, 77]",72.16260163,72,87,0.09,"[68, 81]",3.08,"[1.91, 5.27]"
61,69,8,1018,"[68, 78]",73.11001965,73,101,0.1,"[70, 82]",3.39,"[2.09, 5.75]"
62,70,8,1051,"[69, 79]",74.02759277,74,107,0.1,"[71, 83]",2.85,"[1.82, 4.78]"
63,71,8,1051,"[70, 80]",74.8981922,75,120,0.11,"[71, 84]",2.03,"[1.38, 3.17]"
64,72,8,1039,"[71, 81]",75.74013474,76,129,0.12,"[72, 85]",1.91,"[1.2, 3.09]"
65,73,8,1013,"[72, 82]",76.63672261,77,127,0.13,"[74, 86]",1.86,"[1.18, 2.98]"
66,74,8,951,"[73, 83]",77.68243954,78,141,0.15,"[74, 87]",1.85,"[1.19, 2.9]"
67,75,8,916,"[74, 84]",78.61572052,78,151,0.16,"[75, 87]",1.84,"[1.2, 2.87]"
68,76,8,876,"[75, 85]",79.44977169,79,148,0.17,"[76, 88]",2.5,"[1.58, 4.03]"
69,77,8,806,"[76, 86]",80.28784119,80,148,0.18,"[78, 90]",2.1,"[1.32, 3.4]"
70,78,8,750,"[77, 87]",81.328,81,155,0.21,"[79, 90]",1.7,"[1.1, 2.68]"
71,79,8,675,"[78, 88]",82.32444444,82,155,0.23,"[79, 92]",1.68,"[1.08, 2.64]"
60,69,9,1106,"[67, 78]",72.68625678,73,103,0.09,"[68, 82]",3.36,"[2.09, 5.64]"
61,70,9,1140,"[68, 79]",73.62982456,74,115,0.1,"[70, 83]",3.02,"[1.93, 4.94]"
62,71,9,1152,"[69, 80]",74.45659722,74,125,0.11,"[71, 84]",2.22,"[1.54, 3.41]"
63,72,9,1143,"[70, 81]",75.30271216,75,137,0.12,"[71, 85]",2.02,"[1.39, 3.08]"
64,73,9,1129,"[71, 82]",76.15411869,76,140,0.12,"[72, 86]",2.05,"[1.32, 3.22]"
65,74,9,1099,"[72, 83]",77.04640582,77,153,0.14,"[74, 87]",1.9,"[1.24, 2.96]"
66,75,9,1031,"[73, 84]",78.08923375,78,158,0.15,"[74, 87]",1.93,"[1.27, 2.97]"
67,76,9,981,"[74, 85]",78.96941896,79,165,0.17,"[75, 88]",2.13,"[1.4, 3.26]"
68,77,9,924,"[75, 86]",79.73484848,79,163,0.18,"[76, 90]",2.39,"[1.53, 3.8]"
69,78,9,872,"[76, 87]",80.70986239,80,171,0.2,"[78, 90]",1.83,"[1.2, 2.85]"
70,79,9,797,"[77, 88]",81.6574655,81,169,0.21,"[79, 92]",1.61,"[1.05, 2.49]"
71,80,9,706,"[78, 89]",82.56232295,82,167,0.24,"[79, 93]",1.8,"[1.17, 2.82]"
60,70,10,1228,"[67, 79]",73.21091205,73,117,0.1,"[68, 83]",3.01,"[1.94, 4.88]"
61,71,10,1241,"[68, 80]",74.06043513,74,133,0.11,"[70, 84]",2.35,"[1.63, 3.6]"
62,72,10,1244,"[69, 81]",74.86093248,75,142,0.11,"[71, 85]",2.19,"[1.54, 3.29]"
63,73,10,1233,"[70, 82]",75.71370641,76,148,0.12,"[71, 86]",2.11,"[1.46, 3.19]"
64,74,10,1215,"[71, 83]",76.55884774,76,166,0.14,"[72, 87]",2.07,"[1.36, 3.18]"
65,75,10,1179,"[72, 84]",77.44529262,77,170,0.14,"[74, 87]",1.99,"[1.31, 3.04]"
66,76,10,1096,"[73, 85]",78.4370438,78,172,0.16,"[74, 88]",2.19,"[1.46, 3.32]"
67,77,10,1029,"[74, 86]",79.24781341,79,180,0.17,"[75, 90]",2.07,"[1.37, 3.14]"
68,78,10,990,"[75, 87]",80.14343434,80,186,0.19,"[76, 90]",2.07,"[1.37, 3.17]"
69,79,10,919,"[76, 88]",81.02720348,81,185,0.2,"[78, 92]",1.73,"[1.15, 2.65]"
70,80,10,828,"[77, 89]",81.8852657,82,181,0.22,"[79, 93]",1.72,"[1.14, 2.66]"
71,81,10,746,"[78, 89]",82.89276139,82,184,0.25,"[79, 93]",1.9,"[1.25, 2.94]"